Date,ABOT,ACPL,ADMM,AGIL,AGTL
01/01/2015,-0.013902456,0.050010328,0.009141531,0.001501126,-0.0058
01/02/2015,0.033033893,0.027778832,0.011768713,0.032827307,-0.0046
01/05/2015,-0.009752136,0.002904209,-0.031202822,0.044773379,-0.0051
01/06/2015,-0.023323698,-0.003493882,0.006420524,0.047702844,0.0487
01/07/2015,0.001901806,0.02408548,-0.012817152,0.001300845,0.0487
01/08/2015,-0.002197582,-0.021759765,-0.015774262,0,-0.0135
01/09/2015,-0.010445067,-0.004688972,0.010353228,0.00531407,-0.022
01/12/2015,0.026033092,-0.012915865,-0.007471945,-0.00528598,-0.0136
13/01/2015,-0.010247137,0.003606488,0.002803924,-0.003992011,-0.0253
14/01/2015,0.013591536,0.003004505,0.001901806,0.015823893,0.0164
15/01/2015,-0.013507938,-0.013606582,0.023368871,0.016941914,-0.0024
16/01/2015,-0.003792789,0.003004505,0.008233712,0.010858531,-0.0131
19/01/2015,-0.008067283,0.020915731,0.005414606,0,0.0152
20/01/2015,-0.010346107,-0.002895799,-0.00905872,-0.016462979,0.002
21/01/2015,-0.001099395,0.008838834,-0.008166472,0.045086858,0.0237
22/01/2015,-0.022542044,-0.007571193,-0.011928287,-0.034491139,-0.0056
23/01/2015,-0.012520952,0.003506132,0.006521171,0.020405401,-0.0149
26/01/2015,0.008737955,0.00120072,-0.009256889,-0.022542044,0.0093
27/01/2015,0.040810774,0.00060018,-0.013014568,-0.001299155,0.0048
28/01/2015,-0.02097686,-0.002297357,-0.006578268,-0.01852624,-0.0133
29/01/2015,0.02716235,0.011667541,-0.010445067,0.005917439,0.0036
30/01/2015,0.027676059,0.006319887,-0.017249494,0.001901806,0.0012
02/02/2015,-0.008364819,-0.006280197,0.023471213,-0.012323437,0.0068
02/03/2015,-0.004987521,-0.012125882,-0.019997347,0.001300845,0.0107
02/04/2015,-0.020878952,-0.002297357,-0.001898196,-0.005882629,0.0486
02/06/2015,-0.016954625,0.022346014,-0.01852624,-0.005882629,-0.0087
02/09/2015,0.005816853,-0.002297357,-0.008959621,-0.003294561,-0.0065
02/10/2015,0.006823172,-0.010346107,0.019079736,0,-0.0008
02/11/2015,-0.017151214,-0.005783212,0,-0.020585172,-0.0038
02/12/2015,-0.010741889,-0.036323865,-0.021661936,0.039354659,-0.0202
13/02/2015,-0.008761393,0.029115813,-0.002995504,-0.008463977,-0.051
16/02/2015,0.006118643,-0.013606582,0.023164218,-0.009256889,0.0062
17/02/2015,-0.00019998,-0.00119928,0.002002001,-0.001998001,0.0012
18/02/2015,0.002803924,-0.003593528,-0.018722515,-0.009355958,-0.0062
19/02/2015,-0.013507938,-0.003593528,-0.00905872,0.022857315,0.007
20/02/2015,-0.0009995,-0.018133572,-0.011137514,0.021017828,-0.009
23/02/2015,-0.010544018,0.00732671,-0.007174142,-0.013507938,-0.0041
24/02/2015,-0.016757996,-0.011631821,-0.01547895,-0.020878952,-0.0121
25/02/2015,0,-0.014198241,-0.017838968,0.011971087,-0.0008
26/02/2015,-0.001498876,0.010656379,0.004309258,0,-0.0101
27/02/2015,-0.00618082,-0.009950166,0.00531407,0,-0.0098
03/02/2015,-0.018722515,-0.013113262,-0.007372687,0,-0.0103
03/03/2015,-0.021857584,-0.01331062,-0.007471945,-0.041513691,-0.0078
03/04/2015,-0.0438113,-0.007074855,-0.012817152,-0.004091606,0.0182
03/05/2015,-0.05000637,0.018162976,-0.031493418,0,0
03/06/2015,-0.036901897,0.005113027,-0.016856315,-0.002097797,-0.0021
03/09/2015,-0.04208861,-0.020878952,-0.017151214,0.00140098,-0.0143
